dev_eui,created_at,temperature_c,humidity,co2,pressure,smoke_detected
"0025CA0000000F49","2025-11-08 14:58:01","1.6","95.84","f","f","f"
"0025CA0000000F49","2025-11-08 14:47:50","1.66","79.07","f","f","f"
"0025CA0000000F49","2025-11-08 14:37:40","2.96","99.63","f","f","f"
"0025CA0000000F49","2025-11-08 14:27:49","1.82","92.98","f","f","f"
"0025CA0000000F49","2025-11-08 14:27:41","1.82","92.98","f","f","f"
"0025CA0000000F49","2025-11-08 14:27:36","1.82","92.98","f","f","f"
"0025CA0000000F49","2025-11-08 14:17:19","3.11","95.91","f","f","f"
"0025CA0000000F49","2025-11-08 14:07:08","2.64","98.44","f","f","f"
"0025CA0000000F49","2025-11-08 13:56:43","1.95","81.38","f","f","f"
"0025CA0000000F49","2025-11-08 13:46:50","3.36","94.68","f","f","f"
"0025CA0000000F49","2025-11-08 13:46:45","3.36","94.68","f","f","f"
"0025CA0000000F49","2025-11-08 13:46:38","3.36","94.68","f","f","f"
"0025CA0000000F49","2025-11-08 13:46:32","3.36","94.68","f","f","f"
"0025CA0000000F49","2025-11-08 13:36:22","3.64","100","f","f","f"
"0025CA0000000F49","2025-11-08 13:26:12","2.65","97.36","f","f","f"
"0025CA0000000F49","2025-11-08 13:16:20","2.12","90.99","f","f","f"
"0025CA0000000F49","2025-11-08 13:16:13","2.12","90.99","f","f","f"
"0025CA0000000F49","2025-11-08 13:16:07","2.12","90.99","f","f","f"
"0025CA0000000F49","2025-11-08 13:16:00","2.12","90.99","f","f","f"
"0025CA0000000F49","2025-11-08 13:05:50","3.39","97.08","f","f","f"
"0025CA0000000F49","2025-11-08 12:55:40","2.55","95.6","f","f","f"
"0025CA0000000F49","2025-11-08 12:45:30","2.37","80.12","f","f","f"
"0025CA0000000F49","2025-11-08 12:35:19","4.6","100","f","f","f"
"0025CA0000000F49","2025-11-08 12:25:29","3.35","100","f","f","f"
"0025CA0000000F49","2025-11-08 12:25:22","3.35","100","f","f","f"
"0025CA0000000F49","2025-11-08 12:25:15","3.35","100","f","f","f"
"0025CA0000000F49","2025-11-08 12:25:09","3.35","100","f","f","f"
"0025CA0000000F49","2025-11-08 12:14:58","1.59","92.89","f","f","f"
"0025CA0000000F49","2025-11-08 12:04:54","1.95","85.21","f","f","f"
